frame,tNs,minDistNm,nInside1nm,U_pep_His,U_tot,theta,q_His
83,8300,0.69415086,1,3.22992842,-60.35652848,0.50000000,0.50000000
84,8400,0.70936338,1,3.36046592,-66.70174235,0.50000000,0.50000000
85,8500,0.67281651,1,3.17697403,-79.21927952,0.50000000,0.50000000
86,8600,0.67049859,1,3.45412639,-81.56283193,0.50000000,0.50000000
87,8700,0.79141894,1,2.45130959,-55.56757993,0.50000000,0.50000000
88,8800,0.70789844,1,3.67666476,-95.92913670,0.50000000,0.50000000
89,8900,0.68211518,1,2.82932131,-52.27500709,0.50000000,0.50000000
90,9000,0.68400903,1,3.66432513,-84.42367778,0.50000000,0.50000000
91,9100,0.77135003,1,2.67513591,-57.50154540,0.50000000,0.50000000
92,9200,0.73870566,1,3.54297829,-66.75702172,0.50000000,0.50000000
93,9300,0.71106026,1,2.75477438,-62.19444598,0.50000000,0.50000000
94,9400,0.69742244,1,3.54598345,-50.32370156,0.50000000,0.50000000
95,9500,0.80081314,1,2.88869410,-67.06792612,0.50000000,0.50000000
96,9600,0.61735478,1,3.96031753,-68.47913563,0.50000000,0.50000000
97,9700,0.81743284,1,2.53119057,-64.82369086,0.50000000,0.50000000
98,9800,0.51935452,1,4.98774606,-54.84867025,0.50000000,0.50000000
99,9900,0.83228162,1,2.36964156,-70.89640204,0.50000000,0.50000000
100,10000,0.60973669,2,4.68221424,-71.21316604,0.50000000,0.50000000
101,10100,0.90443976,1,2.08049642,-49.23578782,0.50000000,0.50000000
102,10200,0.70045542,2,3.97930456,-69.63101313,0.50000000,0.50000000
103,10300,0.71806022,1,2.95643943,-59.03082527,0.50000000,0.50000000
104,10400,0.69856164,1,3.84394344,-85.12216278,0.50000000,0.50000000
105,10500,0.71358589,1,2.90862533,-50.31273802,0.50000000,0.50000000
106,10600,0.74796417,2,3.38230124,-83.99955721,0.50000000,0.50000000
107,10700,0.60227220,1,3.55584823,-48.99246230,0.50000000,0.50000000
108,10800,0.73687970,1,3.15464308,-70.36351967,0.50000000,0.50000000
109,10900,0.63193820,1,3.74818498,-59.58583029,0.50000000,0.50000000
110,11000,0.79253309,2,2.93312977,-63.40997041,0.50000000,0.50000000
111,11100,0.59114600,1,4.08815676,-69.92499102,0.50000000,0.50000000
112,11200,0.76150817,1,2.78194364,-55.79049227,0.50000000,0.50000000
113,11300,0.64239538,1,3.49666901,-85.15460844,0.50000000,0.50000000
114,11400,0.74522394,1,2.61195137,-72.50796352,0.50000000,0.50000000
