frame,tNs,minDistNm,nInside1nm,U_pep_His,U_tot,theta,q_His
72,7200,1.05255938,0,8.51723760,-236.51117088,0.50000000,0.50000000
73,7300,0.70989437,1,8.80400619,-191.40293768,0.50000000,0.50000000
74,7400,1.02290031,0,9.07117091,-274.59065706,0.50000000,0.50000000
75,7500,0.69254499,1,9.34503630,-205.45953529,0.50000000,0.50000000
76,7600,1.06404075,0,8.05830118,-232.12963863,0.50000000,0.50000000
77,7700,0.62032794,1,11.47913238,-192.52914176,0.50000000,0.50000000
78,7800,0.90294513,1,9.34501876,-832.75234922,0.50000000,0.50000000
79,7900,0.57330777,1,13.05987637,-156.45872185,0.50000000,0.50000000
80,8000,0.92332284,1,8.67535769,-454.17401305,0.50000000,0.50000000
81,8100,0.67334068,1,11.05700364,-174.98053688,0.50000000,0.50000000
82,8200,0.98105169,1,8.22109689,-344.88792471,0.50000000,0.50000000
83,8300,0.75783517,1,10.63959014,-204.30264891,0.50000000,0.50000000
84,8400,1.04369070,0,7.72078816,-270.03219713,0.50000000,0.50000000
85,8500,0.66252431,1,10.59273378,-212.75701944,0.50000000,0.50000000
86,8600,1.01059228,0,7.84022104,-273.89276810,0.50000000,0.50000000
87,8700,0.77195786,1,8.43619392,-215.69259141,0.50000000,0.50000000
88,8800,1.03333307,0,8.46511964,-253.88054384,0.50000000,0.50000000
89,8900,0.79483383,1,8.02376256,-272.62027163,0.50000000,0.50000000
90,9000,1.08384901,0,8.53480920,-191.97202863,0.50000000,0.50000000
91,9100,0.88984540,1,7.15382269,-342.56357449,0.50000000,0.50000000
92,9200,0.86241073,1,9.52706452,-340.47540898,0.50000000,0.50000000
93,9300,0.99170867,1,6.17401577,-220.65806955,0.50000000,0.50000000
94,9400,0.73529007,1,10.87992566,-234.45841868,0.50000000,0.50000000
95,9500,1.03688871,0,7.14156911,-243.70592385,0.50000000,0.50000000
96,9600,0.65898282,1,11.46571510,-243.12365275,0.50000000,0.50000000
97,9700,1.03514273,0,7.19286340,-243.53239103,0.50000000,0.50000000
98,9800,0.52430014,1,14.56213478,-181.43152084,0.50000000,0.50000000
99,9900,0.92350349,1,7.95917306,-293.25408636,0.50000000,0.50000000
100,10000,0.88678708,1,8.98584570,-237.62946115,0.50000000,0.50000000
101,10100,1.02318983,0,7.44697687,-172.90211349,0.50000000,0.50000000
102,10200,0.83161257,1,8.57633162,-375.62635709,0.50000000,0.50000000
103,10300,1.03852855,0,7.38576204,-256.80274450,0.50000000,0.50000000
104,10400,0.81931216,2,10.13391889,-238.62463494,0.50000000,0.50000000
105,10500,1.06680389,0,7.08515638,-250.53303318,0.50000000,0.50000000
106,10600,0.81483278,1,8.83239361,-240.44297429,0.50000000,0.50000000
107,10700,1.01995688,0,6.51662488,-221.33696816,0.50000000,0.50000000
108,10800,0.70809060,1,10.70619221,-354.82957781,0.50000000,0.50000000
109,10900,0.95485235,1,8.14594150,-319.01376191,0.50000000,0.50000000
110,11000,0.71354820,1,10.02894703,-184.04241207,0.50000000,0.50000000
111,11100,0.99461099,1,7.83209779,-280.00219505,0.50000000,0.50000000
112,11200,0.75531923,1,9.11403612,-147.48430740,0.50000000,0.50000000
113,11300,0.92449380,1,7.79216007,-338.81020592,0.50000000,0.50000000
114,11400,0.84519272,1,8.43734404,-152.07207662,0.50000000,0.50000000
115,11500,0.88924864,1,7.66180877,-242.79555278,0.50000000,0.50000000
116,11600,0.82409675,1,8.71267228,-217.45382344,0.50000000,0.50000000
117,11700,0.88557556,1,8.47898027,-228.89025470,0.50000000,0.50000000
118,11800,0.94292333,1,7.40994547,-248.24968104,0.50000000,0.50000000
119,11900,0.80104676,1,10.51761556,-189.27197557,0.50000000,0.50000000
120,12000,1.01972064,0,6.60321944,-260.39410241,0.50000000,0.50000000
121,12100,0.68861859,1,11.70572779,-203.47582829,0.50000000,0.50000000
122,12200,1.13459433,0,5.78019992,-203.02460923,0.50000000,0.50000000
123,12300,0.69853662,2,12.06316144,-251.31865196,0.50000000,0.50000000
124,12400,1.04435547,0,6.64328707,-219.69675822,0.50000000,0.50000000
125,12500,0.67770523,1,11.65164035,-241.03298282,0.50000000,0.50000000
126,12600,1.10906957,0,6.37228099,-196.04755139,0.50000000,0.50000000
127,12700,0.81436871,2,10.97555384,-245.46781089,0.50000000,0.50000000
128,12800,1.00935270,0,7.02740805,-189.02443241,0.50000000,0.50000000
129,12900,0.87179340,1,9.96819798,-235.63102439,0.50000000,0.50000000
130,13000,0.95884547,1,7.48677433,-218.47833134,0.50000000,0.50000000
131,13100,0.79934533,1,10.04561812,-208.97700903,0.50000000,0.50000000
132,13200,0.97400485,1,6.80497341,-226.35901550,0.50000000,0.50000000
133,13300,0.70088442,1,11.04485596,-217.27356895,0.50000000,0.50000000
134,13400,0.92977688,1,7.38408120,-260.17655841,0.50000000,0.50000000
135,13500,0.78680086,1,9.76115769,-356.82856944,0.50000000,0.50000000
136,13600,0.98750032,1,7.70210557,-211.05679061,0.50000000,0.50000000
