baselineId,protocol,n,proximityEvents_mean,proximityEvents_sd,proximityDistNm_mean,proximityDistNm_sd,hhEvents_mean,hhEvents_sd,hhDistNm_mean,hhDistNm_sd,U_pep_His_mean,U_pep_His_sd,U_tot_mean,U_tot_sd,theta_mean,q_His_mean
Baseline_KSRRRAR_50,fixed-pH_7.4,10,1.1000,0.3162,0.415814,0.126843,0.0000,0.0000,0.000000,0.000000,0.477237,0.072813,-334.766170,36.996308,0.059351,0.059351
Baseline_KSRRRAR_50,fixed-pH_6.2,10,1.0000,0.0000,0.400502,0.064546,0.0000,0.0000,0.000000,0.000000,3.873616,0.714947,-326.540351,50.495833,0.500000,0.500000
Baseline_KSRRRAR_50,fixed-pH_5,10,1.0000,0.0000,0.408786,0.058932,0.1000,0.3162,0.063273,0.200086,6.752363,1.516306,-298.772192,52.215566,0.940649,0.940649
Baseline_KSRRRAR_50,pH-ramp_7.4_to_5,10,1.1000,0.3162,0.416279,0.128037,0.0000,0.0000,0.000000,0.000000,3.955743,0.619752,-329.127680,35.712564,0.940649,0.940649
Baseline_PRARR_50,fixed-pH_7.4,10,1.0000,0.0000,0.390184,0.083447,0.0000,0.0000,0.000000,0.000000,0.355926,0.016831,-218.976254,10.965839,0.059351,0.059351
Baseline_PRARR_50,fixed-pH_6.2,10,1.0000,0.0000,0.400722,0.084944,0.0000,0.0000,0.000000,0.000000,2.975014,0.151968,-216.265344,12.517652,0.500000,0.500000
Baseline_PRARR_50,fixed-pH_5,10,1.0000,0.0000,0.410316,0.084823,1.0000,0.0000,0.647429,0.123274,5.550400,0.352568,-212.674778,16.323461,0.940649,0.940649
Baseline_PRARR_50,pH-ramp_7.4_to_5,10,1.0000,0.0000,0.390184,0.083447,0.0000,0.0000,0.000000,0.000000,2.945029,0.147177,-215.345241,10.561023,0.940649,0.940649
