baselineId,protocol,n,proximityEvents_mean,proximityEvents_sd,proximityDistNm_mean,proximityDistNm_sd,hhEvents_mean,hhEvents_sd,hhDistNm_mean,hhDistNm_sd,U_pep_His_mean,U_pep_His_sd,U_tot_mean,U_tot_sd,theta_mean,q_His_mean
Baseline_KSRRRAR_50,fixed-pH_7.4,10,1.0000,0.0000,0.399966,0.012225,0.0000,0.0000,0.000000,0.000000,0.517711,0.022924,-344.480975,23.641215,0.059351,0.059351
Baseline_KSRRRAR_50,fixed-pH_6.2,10,1.0000,0.0000,0.404648,0.012233,0.0000,0.0000,0.000000,0.000000,4.332807,0.194070,-338.964079,23.743656,0.500000,0.500000
Baseline_KSRRRAR_50,fixed-pH_5,10,1.0000,0.0000,0.406093,0.012245,1.0000,0.0000,0.559433,0.028666,7.816995,0.355351,-316.141197,22.096420,0.940649,0.940649
Baseline_KSRRRAR_50,pH-ramp_7.4_to_5,10,1.0000,0.0000,0.399966,0.012225,0.0000,0.0000,0.000000,0.000000,4.296446,0.197794,-337.628223,23.543580,0.940649,0.940649
Baseline_PRARR_50,fixed-pH_7.4,10,1.0000,0.0000,0.411377,0.012186,0.0000,0.0000,0.000000,0.000000,0.368480,0.009884,-234.875796,7.869482,0.059351,0.059351
Baseline_PRARR_50,fixed-pH_6.2,10,1.0000,0.0000,0.418936,0.011237,0.0000,0.0000,0.000000,0.000000,3.023974,0.095680,-223.082580,10.825724,0.500000,0.500000
Baseline_PRARR_50,fixed-pH_5,10,1.0000,0.0000,0.423744,0.011513,1.0000,0.0000,0.641016,0.018203,5.605334,0.153347,-217.719869,8.233433,0.940649,0.940649
Baseline_PRARR_50,pH-ramp_7.4_to_5,10,1.0000,0.0000,0.411377,0.012186,0.0000,0.0000,0.000000,0.000000,3.050386,0.097349,-226.275763,9.779079,0.940649,0.940649
